titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
100 presente;Sport/Uninassau/Inst. Todos;2;484;2;https://lbf.com.br/noticias/100-presente/
trio impulsiona o galo na terceira seguida;Sodiê Mesquita;8;839;3;https://lbf.com.br/noticias/trio-impulsiona-o-galo-na-terceira-seguida/
e a vez da arbitragem;Sport/Uninassau/Inst. Todos;6;436;1;https://lbf.com.br/noticias/e-a-vez-da-arbitragem/
corinthiansamericana estreia na fase final da liga sul americana nesta quarta diante da ute;Sport/Uninassau/Inst. Todos;4;390;1;https://lbf.com.br/noticias/corinthiansamericana-estreia-na-fase-final-da-liga-sul-americana-nesta-quarta-diante-da-ute/
um dia importante para o basquete feminino;Sport/Uninassau/Inst. Todos;3;554;1;https://lbf.com.br/noticias/um-dia-importante-para-o-basquete-feminino/
bradesco derrota o sesi sp e sobe para o terceiro lugar no paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;261;1;https://lbf.com.br/noticias/bradesco-derrota-o-sesi-sp-e-sobe-para-o-terceiro-lugar-no-paulista-feminino-da-serie-a-2/
destaque nos numeros;Unimed Campinas Basquete;5;517;2;https://lbf.com.br/noticias/destaque-nos-numeros/
santo andre apaba e sesi araraquara decidem titulo paulista;Santo André;6;231;3;https://lbf.com.br/noticias/santo-andre-apaba-e-sesi-araraquara-decidem-titulo-paulista/
vai ter jogo 3 ver uni;Unimed Campinas Basquete;7;636;4;https://lbf.com.br/noticias/vai-ter-jogo-3-ver-uni/
ituano sesi araraquara e ad santo andre vencem no sabado triplo da lbf caixa;Unimed Campinas Basquete;14;637;7;https://lbf.com.br/noticias/ituano-sesi-araraquara-e-ad-santo-andre-vencem-no-sabado-triplo-da-lbf-caixa/
elenco brasileiro confia em boa performance no campeonato mundial da turquia;Pontz São José Basketball;8;812;2;https://lbf.com.br/noticias/elenco-brasileiro-confia-em-boa-performance-no-campeonato-mundial-da-turquia/
a decima do sesi;ADRM Maringá;7;370;3;https://lbf.com.br/noticias/a-decima-do-sesi/
implacavel;Unimed Campinas Basquete;6;342;2;https://lbf.com.br/noticias/implacavel/
sem gabi sem problema;Sport/Uninassau/Inst. Todos;3;582;3;https://lbf.com.br/noticias/sem-gabi-sem-problema/
lbf das mina;Sport/Uninassau/Inst. Todos;11;662;6;https://lbf.com.br/noticias/lbf-das-mina/
corinthiansamericana vence bem e se qualifica a semifinal sport recife e eliminado;Sport/Uninassau/Inst. Todos;2;552;1;https://lbf.com.br/noticias/corinthiansamericana-vence-bem-e-se-qualifica-a-semifinal-sport-recife-e-eliminado/
unimedamericana supera o rio claro basquete e se reabilita no campeonato paulista feminino;Santo André;4;441;2;https://lbf.com.br/noticias/unimedamericana-supera-o-rio-claro-basquete-e-se-reabilita-no-campeonato-paulista-feminino/
tubarao mostra forca no sul;Sampaio Basquete;16;698;4;https://lbf.com.br/noticias/tubarao-mostra-forca-no-sul/
no ultimo lance;Nenhum time identificado;0;547;0;https://lbf.com.br/noticias/no-ultimo-lance/
ituano basquete x unimed campinas;Unimed Campinas Basquete;15;649;3;https://lbf.com.br/noticias/ituano-basquete-x-unimed-campinas/
